#Vazao01	Vazao02	Vazao03	Vazao04	Vazao05	Vazao06	Vazao07	Vazao08	Vazao09	Vazao10	Vazao11	Vazao12	Vazao13	Vazao14	Vazao15	Vazao16	Vazao17	Vazao18	Vazao19	Vazao20	Vazao21	Vazao22	Vazao23	Vazao24	Vazao25	Vazao26	Vazao27	Vazao28	Vazao29	Vazao30	Vazao31	#dias	mes	Ano
68.505	62.742	60.841	62.742	70.445	7.83	72.395	64.653	60.841	58.951	92.384	152.313	14.565	128.149	134.665	141.238	119.551	102.686	12.599	163.532	207.376	245.635	195.661	161.277	139.041	108.957	96.481	94.429	92.384	88.318	90.347	31	12	2023
58.951	55.203	49.665	47.842	53.346	96.481	143.441	172.607	159.027	150.086	152.313	128.149	102.686	76.323	62.742	62.742	64.653	66.574	66.574	66.574	72.395	76.323	98.542	104.769	94.429	80.287	80.287	90.347	72.395	7.83	0	31	11	2023
82.282	7.83	66.574	60.841	53.346	84.286	106.859	117.419	113.174	102.686	96.481	86.298	76.323	60.841	68.505	90.347	94.429	102.686	111.062	90.347	70.445	60.841	57.072	55.203	62.742	72.395	72.395	58.951	53.346	55.203	58.951	31	10	2023
96.481	113.174	117.419	98.542	92.384	80.287	70.445	80.287	96.481	88.318	80.287	68.505	60.841	57.072	53.346	51.499	49.665	49.665	47.842	44.234	42.449	40.677	40.677	38.919	38.919	40.677	47.842	98.542	84.286	84.286	0	31	9	2023
57.072	55.203	55.203	53.346	53.346	55.203	55.203	53.346	55.203	53.346	51.499	49.665	49.665	47.842	46.032	44.234	42.449	42.449	40.677	38.919	38.919	38.919	40.677	44.234	53.346	66.574	76.323	7.83	80.287	88.318	92.384	31	8	2023
111.062	108.957	106.859	104.769	102.686	10.061	96.481	94.429	92.384	94.429	96.481	96.481	94.429	92.384	88.318	88.318	86.298	80.287	7.83	76.323	72.395	72.395	70.445	68.505	66.574	64.653	62.742	62.742	60.841	60.841	58.951	31	7	2023
240.791	231.154	219.208	216.832	214.461	212.094	207.376	202.675	200.333	19.101	188.692	18.407	174.889	168.059	165.793	163.532	161.277	161.277	161.277	159.027	152.313	147.865	139.041	139.041	134.665	130.315	128.149	123.837	117.419	113.174	0	31	6	2023
517.163	595.665	661.562	799.824	749.282	684.764	621.305	573.037	531.036	489.615	459.626	44.072	435.344	459.626	598.505	558.974	519.932	556.169	57.868	542.181	481.403	43.266	390.133	363.958	338.113	32.277	297.486	282.494	267.642	260.269	250.497	31	5	2023
681.856	664.454	641.378	57.868	592.828	699.336	872.146	814.799	790.863	743.374	708.106	67.895	638.503	618.447	658.672	652.898	670.246	641.378	587.162	592.828	558.974	495.103	451.506	514.396	43.803	387.501	43.803	443.412	473.216	478.671	459.626	31	1	2023
589.994	693.501	690.586	749.282	832.834	755.198	676.047	592.828	522.704	470.492	416.622	384.872	382.247	403.339	369.167	340.682	325.319	307.556	32.277	345.831	358.762	392.768	390.133	369.167	340.682	392.768	470.492	647.133	808.803	784.898	746.327	31	12	2022
49.665	80.287	123.837	143.441	181.767	307.556	424.628	419.287	305.033	250.497	221.588	197.995	195.661	18.407	163.532	168.059	179.469	188.692	165.793	174.889	161.277	141.238	147.865	197.995	245.635	243.211	255.375	299.998	43.266	536.603	0	31	11	2022
22.185	20.609	20.609	19.055	20.609	20.609	20.609	19.055	19.055	2.378	30.346	40.677	40.677	38.919	3.373	3.203	30.346	22.185	35.445	35.445	3.373	3.203	30.346	3.203	3.373	46.032	7.83	86.298	70.445	62.742	53.346	31	10	2022
19.055	19.055	17.523	17.523	17.523	16.014	16.014	16.014	1.453	13.072	1.453	1.453	17.523	17.523	17.523	19.055	19.055	17.523	19.055	17.523	17.523	16.014	16.014	22.185	2.378	27.028	27.028	25.395	25.395	25.395	0	31	9	2022
42.449	44.234	44.234	42.449	42.449	40.677	38.919	37.175	35.445	3.373	3.373	3.203	3.373	3.373	3.203	3.203	30.346	28.678	28.678	27.028	27.028	25.395	25.395	2.378	22.185	22.185	22.185	22.185	20.609	20.609	20.609	31	8	2022
96.481	96.481	92.384	88.318	86.298	84.286	80.287	76.323	74.354	72.395	68.505	66.574	64.653	62.742	60.841	60.841	57.072	55.203	53.346	53.346	51.499	49.665	49.665	47.842	47.842	46.032	44.234	42.449	42.449	42.449	40.677	31	7	2022
